start_neighborhood,trip_duration
East Village,486.0
Central Park,1431.0
Chelsea-Hudson Yards,438.0
Chelsea-Hudson Yards,825.0
Gramercy,601.0
Financial District-Battery Park City,559.0
Greenwich Village,397.0
Midtown-Times Square,337.0
Financial District-Battery Park City,709.0
Tribeca-Civic Center,535.0
Fort Greene,430.0
Midtown-Times Square,1428.0
Financial District-Battery Park City,780.0
Midtown-Times Square,339.0
Midtown-Times Square,607.0
Murray Hill-Kips Bay,1012.0
Hell's Kitchen,1479.0
East Midtown-Turtle Bay,883.0
Fort Greene,825.0
SoHo-Little Italy-Hudson Square,531.0
East Village,437.0
Murray Hill-Kips Bay,709.0
Murray Hill-Kips Bay,1011.0
Tribeca-Civic Center,327.0
Chelsea-Hudson Yards,480.0
Tribeca-Civic Center,420.0
Greenwich Village,245.0
Chelsea-Hudson Yards,72.0
West Village,1340.0
Lower East Side,2067.0
Lower East Side,1020.0
East Midtown-Turtle Bay,874.0
East Village,302.0
East Village,519.0
Murray Hill-Kips Bay,974.0
Hell's Kitchen,449.0
Midtown-Times Square,820.0
Chelsea-Hudson Yards,1535.0
East Midtown-Turtle Bay,427.0
West Village,672.0
Chinatown-Two Bridges,1466.0
Chelsea-Hudson Yards,1669.0
Chelsea-Hudson Yards,474.0
Hell's Kitchen,826.0
Hell's Kitchen,499.0
Chelsea-Hudson Yards,201.0
SoHo-Little Italy-Hudson Square,242.0
Williamsburg,1119.0
Fort Greene,388.0
East Village,276.0
SoHo-Little Italy-Hudson Square,527.0
Midtown South-Flatiron-Union Square,723.0
Bedford-Stuyvesant (West),408.0
East Village,400.0
Financial District-Battery Park City,162.0
Stuyvesant Town-Peter Cooper Village,1209.0
Tribeca-Civic Center,1182.0
Lower East Side,381.0
Chelsea-Hudson Yards,170.0
Greenwich Village,648.0
Gramercy,316.0
Greenwich Village,260.0
Chelsea-Hudson Yards,329.0
Chelsea-Hudson Yards,1044.0
West Village,659.0
Midtown South-Flatiron-Union Square,390.0
Financial District-Battery Park City,1646.0
Lower East Side,362.0
Financial District-Battery Park City,1456.0
Murray Hill-Kips Bay,1810.0
Williamsburg,1221.0
Midtown-Times Square,373.0
East Village,1339.0
Lower East Side,234.0
Downtown Brooklyn-DUMBO-Boerum Hill,704.0
East Village,941.0
Tribeca-Civic Center,619.0
Financial District-Battery Park City,968.0
East Village,687.0
Chinatown-Two Bridges,141.0
Chelsea-Hudson Yards,1156.0
Greenwich Village,318.0
Downtown Brooklyn-DUMBO-Boerum Hill,802.0
Midtown-Times Square,640.0
Greenwich Village,143.0
Gramercy,375.0
Tribeca-Civic Center,372.0
SoHo-Little Italy-Hudson Square,728.0
Chelsea-Hudson Yards,654.0
Midtown-Times Square,829.0
SoHo-Little Italy-Hudson Square,1025.0
Chelsea-Hudson Yards,1173.0
Hell's Kitchen,419.0
Hell's Kitchen,632.0
Gramercy,474.0
West Village,1544.0
Stuyvesant Town-Peter Cooper Village,849.0
Tribeca-Civic Center,1042.0
Midtown-Times Square,877.0
West Village,378.0
Midtown South-Flatiron-Union Square,351.0
Chelsea-Hudson Yards,260.0
East Midtown-Turtle Bay,592.0
Murray Hill-Kips Bay,516.0
Downtown Brooklyn-DUMBO-Boerum Hill,889.0
West Village,429.0
Tribeca-Civic Center,1266.0
Murray Hill-Kips Bay,1150.0
Chelsea-Hudson Yards,664.0
Midtown-Times Square,735.0
Midtown South-Flatiron-Union Square,351.0
Chinatown-Two Bridges,524.0
Midtown-Times Square,752.0
Midtown-Times Square,397.0
East Village,499.0
Fort Greene,393.0
West Village,349.0
East Village,577.0
